letter,count_all,count_uppercase,percentage
a,77,2,9.40
b,10,2,1.22
c,47,5,5.74
d,10,0,1.22
e,96,2,11.72
f,10,1,1.22
g,28,2,3.42
h,36,0,4.40
i,72,2,8.79
j,1,0,0.12
k,13,0,1.59
l,50,3,6.11
m,25,1,3.05
n,64,3,7.81
o,64,1,7.81
p,13,2,1.59
q,2,1,0.24
r,54,3,6.59
s,38,8,4.64
t,62,3,7.57
u,15,0,1.83
v,9,2,1.10
w,9,2,1.10
x,1,0,0.12
y,12,0,1.47
z,1,0,0.12
